id,code,name,system_id/id,categ_ids:id,maker,freq_maker,operator
tkt_categ_elemt_0001,CCTVCI1B,Cámara Interior 1 - Busetón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_6_173221a7,Hikvision,Mensual,UFO7
tkt_categ_elemt_0002,CCTVCI2B,Cámara Interior 2 - Busetón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_6_173221a7,Hikvision,Mensual,UFO7
tkt_categ_elemt_0003_1,CCTVCI3B,Cámara Interior 3 - Busetón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_6_173221a7,Hikvision,Mensual,UFO7
tkt_categ_elemt_0003,CCTVCI1P,Cámara Interior 1 - Padrón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_7_daa6d47f,Hikvision,Mensual,UFO7
tkt_categ_elemt_0004,CCTVCI2P,Cámara Interior 2 - Padrón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_7_daa6d47f,Hikvision,Mensual,UFO7
tkt_categ_elemt_0005,CCTVCI3P,Cámara Interior 3 - Padrón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_7_daa6d47f,Hikvision,Mensual,UFO7
tkt_categ_elemt_0006_1,CCTVCI4P,Cámara Interior 4 - Padrón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_7_daa6d47f,Hikvision,Mensual,UFO7
,,,,,,,
tkt_categ_elemt_0006,CCCOB,Cámara Operador - Busetón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_6_173221a7,Hikvision,Mensual,UFO7
tkt_categ_elemt_0007,CCCOP,Cámara Operador - Padrón,mblz_mueve.system_ist_tkt,__export__.maintenance_equipment_category_7_daa6d47f,Hikvision,Mensual,UFO7
,,,,,,,
tkt_categ_elemt_0008,SMCVAC,Aceleración,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",,No aplica,UFO7
tkt_categ_elemt_0010,SMCVFR,Frenos,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Knorr-Bremse,No aplica,UFO7
tkt_categ_elemt_0011,SMCVTMB,Temperatura de motor o de baterias,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",Honeywell,No aplica,UFO7
tkt_categ_elemt_0012,SMCVVEL,Velocidad,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",VDO,No aplica,UFO7
tkt_categ_elemt_0013,SMCVKIL,Kilometraje,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",,No aplica,UFO7

tkt_categ_elemt_0009,SCVPES,Peso,mblz_mueve.system_ist_tkt,"__export__.maintenance_equipment_category_6_173221a7,__export__.maintenance_equipment_category_7_daa6d47f",,No aplica,UFO7
